date,Sump 01,Sump 02,Sump 03,Sump 03B,Sump 03C,Sump 04,Sump 05
28/10/2019,tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr N(S4),transfer
29/10/2019,tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr N(S4),transfer
30/10/2019,tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr N(S4),transfer
31/10/2019,tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr N(S4),transfer
1/11/2019,tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr N(S4),transfer
2/11/2019,tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr N(S4),transfer
3/11/2019,tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr N(S4),transfer
4/11/2019,tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr N(S4),transfer
5/11/2019,tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr N(S4),transfer
6/11/2019,tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr N(S4),transfer
7/11/2019,tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr N(S4),transfer
8/11/2019,tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr N(S4),transfer
9/11/2019,tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr N(S4),transfer
10/11/2019,tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr N(S4),transfer
11/11/2019,tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr N(S4),transfer
12/11/2019,tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr N(S4),transfer
13/11/2019,tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr N(S4),transfer
14/11/2019,tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr N(S4),transfer
15/11/2019,tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr N(S4),transfer
16/11/2019,tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr N(S4),transfer
17/11/2019,tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr N(S4),transfer
18/11/2019,tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr N(S4),transfer
19/11/2019,tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr N(S4),transfer
20/11/2019,tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr N(S4),transfer
21/11/2019,tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr N(S4),transfer
22/11/2019,tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr N(S4),transfer
23/11/2019,tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr N(S4),transfer
24/11/2019,tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr N(S4),transfer
25/11/2019,tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr N(S4),transfer
26/11/2019,tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr N(S4),transfer
27/11/2019,tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr N(S4),transfer
28/11/2019,tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr N(S4),transfer
29/11/2019,tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr N(S4),transfer
30/11/2019,tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr N(S4),transfer
1/12/2019,tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr N(S4),transfer
2/12/2019,tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr N(S4),transfer
3/12/2019,tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr N(S4),transfer
4/12/2019,tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr N(S4),transfer
5/12/2019,tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr N(S4),transfer
6/12/2019,tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr N(S4),transfer
7/12/2019,tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr N(S4),transfer
8/12/2019,tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr N(S4),transfer
9/12/2019,tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr N(S4),transfer
10/12/2019,tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr N(S4),transfer
11/12/2019,tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr N(S4),transfer
12/12/2019,tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr N(S4),transfer
13/12/2019,tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr N(S4),transfer
14/12/2019,tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr N(S4),transfer
15/12/2019,tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr N(S4),transfer
